dataset,feature_name,missing_pct,near_zero_variance_flag,high_outlier_flag,high_corr_flag,notes
BTC,ret_1h_close,0.0,False,True,True,
BTC,log_ret_1h_close,0.0,False,True,True,
BTC,ret_3h,0.0,False,True,True,
BTC,log_ret_3h,0.0,False,True,True,
BTC,ret_6h,0.0,False,True,True,
BTC,log_ret_6h,0.0,False,True,True,
BTC,ret_12h,0.0,False,True,True,
BTC,log_ret_12h,0.0,False,True,True,
BTC,ret_24h,0.0,False,True,True,
BTC,log_ret_24h,0.0,False,True,True,
BTC,ret_48h,0.0,False,True,True,
BTC,log_ret_48h,0.0,False,True,True,
BTC,ret_72h,0.0,False,False,True,
BTC,log_ret_72h,0.0,False,True,True,
BTC,range_pct,0.0,False,True,False,
BTC,body_pct,0.0,False,True,True,
BTC,body_abs_pct,0.0,False,True,False,
BTC,upper_shadow_pct,0.0,False,True,False,
BTC,lower_shadow_pct,0.0,False,True,False,
BTC,body_to_range,0.0,False,False,False,
BTC,close_loc,0.0,False,False,False,
BTC,bar_up,0.0,False,False,True,
BTC,bar_down,0.0,False,False,True,
BTC,gap_open_prev_close,0.0,True,True,False,
BTC,close_to_sma_6,0.0,False,True,True,
BTC,close_to_sma_12,0.0,False,True,True,
BTC,close_to_sma_24,0.0,False,True,True,
BTC,close_to_sma_48,0.0,False,True,True,
BTC,close_to_sma_72,0.0,False,True,True,
BTC,close_to_ema_6,0.0,False,True,True,
BTC,close_to_ema_12,0.0,False,True,True,
BTC,close_to_ema_24,0.0,False,True,True,
BTC,close_to_ema_48,0.0,False,True,True,
BTC,close_to_ema_72,0.0,False,True,True,
BTC,sma_cross_6_24,0.0,False,True,True,
BTC,sma_cross_12_48,0.0,False,True,True,
BTC,ema_cross_12_24,0.0,False,True,True,
BTC,vol_6h,0.0,False,True,False,
BTC,vol_24h,0.0,False,True,True,
BTC,vol_72h,0.0,False,True,True,
BTC,downside_vol_24h,0.0,False,True,False,
BTC,downside_vol_72h,0.0,False,True,True,
BTC,atr_14_pct,0.0,False,True,True,
BTC,rsi_14,0.0,False,False,False,
BTC,macd_line_pct,0.0,False,True,True,
BTC,macd_signal_pct,0.0,False,True,True,
BTC,macd_hist_pct,0.0,False,True,False,
BTC,log_volume,0.0,False,True,False,
BTC,log_quote_volume,0.0,False,True,False,
BTC,log_trades,0.0,False,True,False,
BTC,vol_z_24,0.0,False,False,True,
BTC,quote_vol_z_24,0.0,False,False,True,
BTC,trades_z_24,0.0,False,False,True,
